,source,band,zbound,zvalue
0,../1024/data/frame_00800,B3,zmin,11.178435325622559
1,../1024/data/frame_00800,B3,zmax,109.57427132935695
2,../1024/data/frame_00800,B4,zmin,45.041175842285156
3,../1024/data/frame_00800,B4,zmax,260.0541116007048
4,../1024/data/frame_00800,B5,zmin,1073.7318995310152
5,../1024/data/frame_00800,B5,zmax,3577.5405300295515
6,../1024/data/frame_00800,B6,zmin,26.263447652991168
7,../1024/data/frame_00800,B6,zmax,162.6602345620726
8,../1024/data/frame_00800,B7,zmin,0.0018719594442738858
9,../1024/data/frame_00800,B7,zmax,0.0940431646869231
10,../1024/data/frame_00800,B8,zmin,-0.004604137486207907
11,../1024/data/frame_00800,B8,zmax,0.04354905872456179
12,../1024/data/frame_00801,B3,zmin,13.940728187561035
13,../1024/data/frame_00801,B3,zmax,119.07306057494515
14,../1024/data/frame_00801,B4,zmin,48.9179573059082
15,../1024/data/frame_00801,B4,zmax,268.97254149285436
16,../1024/data/frame_00801,B5,zmin,1079.2128171301445
17,../1024/data/frame_00801,B5,zmax,3441.4864424809907
18,../1024/data/frame_00801,B6,zmin,26.136563884058038
19,../1024/data/frame_00801,B6,zmax,151.5402384620754
20,../1024/data/frame_00801,B7,zmin,0.005020875811231524
21,../1024/data/frame_00801,B7,zmax,0.08871316789712619
22,../1024/data/frame_00801,B8,zmin,-0.003881806646110027
23,../1024/data/frame_00801,B8,zmax,0.018173848247345012
24,../1024/data/frame_00802,B3,zmin,12.524118423461914
25,../1024/data/frame_00802,B3,zmax,119.34023121314563
26,../1024/data/frame_00802,B4,zmin,49.41968536376953
27,../1024/data/frame_00802,B4,zmax,285.0354835035226
28,../1024/data/frame_00802,B5,zmin,1087.648353596284
29,../1024/data/frame_00802,B5,zmax,4009.8974125945265
30,../1024/data/frame_00802,B6,zmin,26.411110187187198
31,../1024/data/frame_00802,B6,zmax,168.2470932153014
32,../1024/data/frame_00802,B7,zmin,0.0055931330554037815
33,../1024/data/frame_00802,B7,zmax,0.09419342123678444
34,../1024/data/frame_00802,B8,zmin,-0.00442219616382237
35,../1024/data/frame_00802,B8,zmax,0.01182190370685358
36,../1024/data/frame_00805,B3,zmin,13.086365699768066
37,../1024/data/frame_00805,B3,zmax,113.18698670558884
38,../1024/data/frame_00805,B4,zmin,45.38232421875
39,../1024/data/frame_00805,B4,zmax,223.9098046569755
40,../1024/data/frame_00805,B5,zmin,1060.226073126777
41,../1024/data/frame_00805,B5,zmax,3028.2395148399814
42,../1024/data/frame_00805,B6,zmin,25.548581329802705
43,../1024/data/frame_00805,B6,zmax,156.60783153455623
44,../1024/data/frame_00805,B7,zmin,0.0027126829001789202
45,../1024/data/frame_00805,B7,zmax,0.09127609526421497
46,../1024/data/frame_00805,B8,zmin,-0.005082294643346929
47,../1024/data/frame_00805,B8,zmax,0.045287400539758785
48,../1024/data/frame_00812,B3,zmin,14.066981315612793
49,../1024/data/frame_00812,B3,zmax,253.6724833151889
50,../1024/data/frame_00812,B4,zmin,53.6411018371582
51,../1024/data/frame_00812,B4,zmax,638.636383774697
52,../1024/data/frame_00812,B5,zmin,1161.0358189012532
53,../1024/data/frame_00812,B5,zmax,7880.457046034186
54,../1024/data/frame_00812,B6,zmin,31.538240640651935
55,../1024/data/frame_00812,B6,zmax,585.5657629878096
56,../1024/data/frame_00812,B7,zmin,0.0058478953792549405
57,../1024/data/frame_00812,B7,zmax,0.3847673439861244
58,../1024/data/frame_00812,B8,zmin,-0.00443752950744559
59,../1024/data/frame_00812,B8,zmax,0.05381977870486959
60,../1024/data/frame_00813,B3,zmin,13.099013328552246
61,../1024/data/frame_00813,B3,zmax,248.69087822178986
62,../1024/data/frame_00813,B4,zmin,55.92746353149414
63,../1024/data/frame_00813,B4,zmax,639.7600933513718
64,../1024/data/frame_00813,B5,zmin,1165.9887207305144
65,../1024/data/frame_00813,B5,zmax,7435.951665226955
66,../1024/data/frame_00813,B6,zmin,31.184199621982295
67,../1024/data/frame_00813,B6,zmax,633.1178055615825
68,../1024/data/frame_00813,B7,zmin,0.0064537249203973305
69,../1024/data/frame_00813,B7,zmax,0.4165709152355678
70,../1024/data/frame_00813,B8,zmin,-0.004789067240177636
71,../1024/data/frame_00813,B8,zmax,0.05719048686018935
72,../1024/data/frame_00814,B3,zmin,13.340476036071777
73,../1024/data/frame_00814,B3,zmax,139.10851619280288
74,../1024/data/frame_00814,B4,zmin,48.46999740600586
75,../1024/data/frame_00814,B4,zmax,329.45977523018627
76,../1024/data/frame_00814,B5,zmin,1096.754686704548
77,../1024/data/frame_00814,B5,zmax,4186.050365518449
78,../1024/data/frame_00814,B6,zmin,26.747002743842202
79,../1024/data/frame_00814,B6,zmax,202.42341202208237
80,../1024/data/frame_00814,B7,zmin,0.003780784402120254
81,../1024/data/frame_00814,B7,zmax,0.12280541311567493
82,../1024/data/frame_00814,B8,zmin,-0.004330831595572716
83,../1024/data/frame_00814,B8,zmax,0.045716910188269504
84,../1024/data/frame_00816,B3,zmin,14.950115203857422
85,../1024/data/frame_00816,B3,zmax,128.44727351002427
86,../1024/data/frame_00816,B4,zmin,52.93889617919922
87,../1024/data/frame_00816,B4,zmax,297.553575285149
88,../1024/data/frame_00816,B5,zmin,1157.123661453958
89,../1024/data/frame_00816,B5,zmax,3581.8422209004543
90,../1024/data/frame_00816,B6,zmin,31.301797021958762
91,../1024/data/frame_00816,B6,zmax,174.76707969256879
92,../1024/data/frame_00816,B7,zmin,0.006145713242875717
93,../1024/data/frame_00816,B7,zmax,0.10421702871333921
94,../1024/data/frame_00816,B8,zmin,-0.0040758561674318905
95,../1024/data/frame_00816,B8,zmax,0.02966323139058226
96,../1024/data/frame_00818,B3,zmin,15.559338569641113
97,../1024/data/frame_00818,B3,zmax,136.1456565817079
98,../1024/data/frame_00818,B4,zmin,54.09373092651367
99,../1024/data/frame_00818,B4,zmax,349.9520706388391
100,../1024/data/frame_00818,B5,zmin,1178.2657378985598
101,../1024/data/frame_00818,B5,zmax,4488.811726738066
102,../1024/data/frame_00818,B6,zmin,30.723706575471148
103,../1024/data/frame_00818,B6,zmax,208.62024403060587
104,../1024/data/frame_00818,B7,zmin,0.004778227917839408
105,../1024/data/frame_00818,B7,zmax,0.03918517160398927
106,../1024/data/frame_00818,B8,zmin,-0.010413221516387882
